Chemours Nederland,Uitbestedingscommissie Chemours Nederland
Chemours Nederland,Commercieel belangrijk Chemours Nederland
Textielverzorging,Commercieel belangrijk Textielverzorging
Sligro Food Group,Commercieel belangrijk Sligro Food Group
Transavia vliegers,Commercieel belangrijk Transavia vliegers
SNS Reaal Groep,Commercieel belangrijk SNS Reaal Groep
Detailhandel,Pensioenadministratie Detailhandel
Alcatel-Lucent,Visitatiecommissie Alcatel-Lucent
AT&T Nederland,Pensioenbureau AT&T Nederland
Grontmij,Pensioenbureau Grontmij
Lloyd's Register Nederland,Pensioenbureau Lloyd's Register Nederland
ARCADIS Nederland,Pensioenbureau ARCADIS Nederland
Apothekers,Certificerend Actuaris Apothekers
Hoogovens,Adviserend Actuaris Hoogovens
Zorg en Welzijn,Commercieel belangrijk Zorg en Welzijn
Personeelspensioenfonds APF,Commercieel belangrijk Personeelspensioenfonds APF
Kas Bank,Commercieel belangrijk Kas Bank
Ring Pon,Raad van toezicht Ring Pon
Waterbouw BPF,Raad van toezicht Waterbouw BPF
Shell,Custodian Shell
Kas Bank,Beleggingscommissie Kas Bank
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Compliance officer Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie
ABN AMRO Bank,Adviserend Actuaris ABN AMRO Bank
Unirobe Meeus groep,Fiduciair Manager Unirobe Meeus groep
Bakkersbedrijf BPF,Pensioenadministratie Bakkersbedrijf BPF
Staples, Staples
Lanschot, Lanschot
RBS Nederland,Fiduciair Manager RBS Nederland
ING,Pensioenadministratie ING
Lombard Odier,Raad van toezicht Lombard Odier
PGGM, PGGM
Ring Pon, Ring Pon
Notariaat, Notariaat
Ring DHV, Ring DHV
Huntsman Rozenburg, Huntsman Rozenburg
NIBC, NIBC
Roeiers in het Rotterdamse havengebied, Roeiers in het Rotterdamse havengebied
Citigroup Nederland, Citigroup Nederland
Landbouw, Landbouw
Loodsen, Loodsen
Timeos, Timeos
Equens, Equens
Fluor Nederland, Fluor Nederland
ARCADIS Nederland, ARCADIS Nederland
Tandartsen en Tandarts-Specialisten, Tandartsen en Tandarts-Specialisten
APF, APF
Verloskundigen, Verloskundigen
Ecolab, Ecolab
TNT express, TNT express
Flexsecurity, Flexsecurity
Legal & General, Legal & General
Huisartsen in Opleiding, Huisartsen in Opleiding
Horecabedrijf, Horecabedrijf
Spoorwegpensioenfonds, Spoorwegpensioenfonds
British American Tobacco, British American Tobacco
Provisum, Provisum
"Mode-, Interieur-, Tapijt- en Textielindustrie"," Mode-, Interieur-, Tapijt- en Textielindustrie"
Transavia vliegers, Transavia vliegers
IFF, IFF
Douwe Egberts, Douwe Egberts
NN, NN
Thales, Thales
TDV, TDV
ING Bank CDC fonds, ING Bank CDC fonds
Robeco, Robeco
McCain, McCain
TrueBlue, TrueBlue
Croda, Croda
Ballast Nedam, Ballast Nedam
DSM Nederland, DSM Nederland
Personeelsdiensten, Personeelsdiensten
Deloitte, Deloitte
Houtverwerkende industrie, Houtverwerkende industrie
Metro, Metro
Randstad, Randstad
Progress Unilever, Progress Unilever
Drankindustrie, Drankindustrie
Robeco AM, Robeco AM
Smurfit Kappa Nederland, Smurfit Kappa Nederland
B&S, B&S
Holland Casino, Holland Casino
E-Way, E-Way
"Schilders-, Afwerkings- en Glaszetbedrijf"," Schilders-, Afwerkings- en Glaszetbedrijf"
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie, Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie
OWASE P, OWASE P
UWV, UWV
Rabobankorganisatie, Rabobankorganisatie
Ring Transavia cabinepersoneel, Ring Transavia cabinepersoneel
PPG Industries Nederland, PPG Industries Nederland
HAL, HAL
Zorg en Welzijn, Zorg en Welzijn
Het Nederlandse Pensioenfonds, Het Nederlandse Pensioenfonds
Grontmij, Grontmij
Waterbouw BPF, Waterbouw BPF
Gasunie, Gasunie
Getronics, Getronics
Lombard Odier, Lombard Odier
Sagittarius, Sagittarius
Urenco Nederland, Urenco Nederland
Alliance, Alliance
Chevron, Chevron
Centraal Beheer, Centraal Beheer
Bibliotheken openbare, Bibliotheken openbare
BMO, BMO
Pensura, Pensura
Tandtechniek, Tandtechniek
Rockwool, Rockwool
Protector, Protector
"Metalektro, bedrijfstakpensioenfonds"," Metalektro, bedrijfstakpensioenfonds"
BlackRock, BlackRock
Recreatie (SPR), Recreatie (SPR)
Heineken, Heineken
Lloyd's Register Nederland, Lloyd's Register Nederland
AT&T Nederland, AT&T Nederland
Mn Services, Mn Services
Transport, Transport
Alcatel-Lucent, Alcatel-Lucent
Remia, Remia
APG, APG
SABIC, SABIC
SC Johnson, SC Johnson
TBI, TBI
Schoonmaak- en Glazenwassersbedrijf, Schoonmaak- en Glazenwassersbedrijf
Volo, Volo
Beroepsvervoer over de Weg, Beroepsvervoer over de Weg
Heijmans, Heijmans
Forbo, Forbo
Cate Koninklijke,Pensioenadministratie Cate Koninklijke
"Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf","Commercieel belangrijk Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf"
Fysiotherapeuten,Beleggingsadviseur Fysiotherapeuten
Openbaar Vervoer,Bestuursbureau Openbaar Vervoer
"Schoen-, Leder- en Lederwarenindustrie","Accountant Schoen-, Leder- en Lederwarenindustrie"
Loodsen,Voert regeling uit voor Loodsen
HAL,Omschrijving moederbedrijf HAL
Huisartsen in Opleiding,Vermogensbeheer Huisartsen in Opleiding
Drankindustrie,Fiduciair Manager Drankindustrie
AXA,Visitatiecommissie AXA
AFM,Herverzekeraar AFM
Ring DHV,Eind contract herverzekeraar Ring DHV
AZL,Commercieel belangrijk AZL
Philips,Commercieel belangrijk Philips
Metro,Certificerend Actuaris Metro
APG,Bestuursadviseur APG
Lloyd's Register Nederland,Visitatiecommissie Lloyd's Register Nederland
BMO,Eind contract herverzekeraar BMO
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Fiduciair Manager Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie
Avery Dennison,Commercieel belangrijk Avery Dennison
Banden- en Wielenbranche,Beleggingsadviseur Banden- en Wielenbranche
Delta Lloyd,Commercieel belangrijk Delta Lloyd
Vitol Anker,Certificerend Actuaris Vitol Anker
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Bestuursadviseur Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie
Forbo,Pensioenadministratie Forbo
BP,Pensioenadministratie BP
AXA,Bestuursbureau AXA
Deutsche Bank Nederland,Commercieel belangrijk Deutsche Bank Nederland
Mars,Commercieel belangrijk Mars
Agrarische en Voedselvoorzieningshandel,Commercieel belangrijk Agrarische en Voedselvoorzieningshandel
Hoogovens,Commercieel belangrijk Hoogovens
Croda,Commercieel belangrijk Croda
Co-op,Commercieel belangrijk Co-op
Zuivel en aanverwante industrie,Commercieel belangrijk Zuivel en aanverwante industrie
PPG Industries Nederland,Commercieel belangrijk PPG Industries Nederland
Koopvaardij,Commercieel belangrijk Koopvaardij
Mn Services,Commercieel belangrijk Mn Services
Shell,Commercieel belangrijk Shell
KLM Algemeen,Commercieel belangrijk KLM Algemeen
Buizerdlaan,Commercieel belangrijk Buizerdlaan
Medewerkers Apotheken,Commercieel belangrijk Medewerkers Apotheken
Beroepsvervoer over de Weg,Commercieel belangrijk Beroepsvervoer over de Weg
Telegraafpensioenfonds 1959,Commercieel belangrijk Telegraafpensioenfonds 1959
Stap,Commercieel belangrijk Stap
Rijn- en Binnenvaart,Visitatiecommissie Rijn- en Binnenvaart
Unirobe Meeus groep,Visitatiecommissie Unirobe Meeus groep
TrueBlue,Compliance officer TrueBlue
Astellas,Compliance officer Astellas
HAL,Accountant HAL
Reisbranche,Adviserend Actuaris Reisbranche
Blue Sky Group,Beleggingsadviseur Blue Sky Group
YARA Nederland,Custodian YARA Nederland
Cosun,Compliance officer Cosun
Schoenmakerij,Commercieel belangrijk Schoenmakerij
Transavia vliegers,Beleggingscommissie Transavia vliegers
Grontmij,Beleggingsadviseur Grontmij
Levensmiddelen Groothandel,Commercieel belangrijk Levensmiddelen Groothandel
Bouwnijverheid,Commercieel belangrijk Bouwnijverheid
E-Way,Commercieel belangrijk E-Way
MSD,Commercieel belangrijk MSD
Lloyd's Register Nederland,Commercieel belangrijk Lloyd's Register Nederland
Alcatel-Lucent,Commercieel belangrijk Alcatel-Lucent
Metaal en Techniek,Commercieel belangrijk Metaal en Techniek
Rijn- en Binnenvaart,Commercieel belangrijk Rijn- en Binnenvaart
Tandtechniek,Commercieel belangrijk Tandtechniek
Gasunie,Commercieel belangrijk Gasunie
Betonproduktenindustrie,Adviserend Actuaris Betonproduktenindustrie
Sligro Food Group,Pensioenadministratie Sligro Food Group
Provisum,Commercieel belangrijk Provisum
Volo,Custodian Volo
Beroepsvervoer over de Weg,Visitatiecommissie Beroepsvervoer over de Weg
Cate Koninklijke,Accountant Cate Koninklijke
TrueBlue,Beleggingsadviseur TrueBlue
Ring Transavia grondpersoneel,Commercieel belangrijk Ring Transavia grondpersoneel
Mercer,Custodian Mercer
KLM Algemeen,Raad van toezicht KLM Algemeen
Consumentenbond,Raad van toezicht Consumentenbond
Bavaria,Custodian Bavaria
Loodsen,Pensioenbureau Loodsen
NN,custodian NN
General Electric Nederland,custodian General Electric Nederland
MSD,custodian MSD
TKP,Compliance officer TKP
Sagittarius,Bestuursadviseur Sagittarius
Textielverzorging,Pensioenbureau Textielverzorging
FORD Nederland,Commercieel belangrijk FORD Nederland
Kappersbedrijf,Commercieel belangrijk Kappersbedrijf
Werk en (re)Integratie,Commercieel belangrijk Werk en (re)Integratie
Invista,Commercieel belangrijk Invista
Huysman,Commercieel belangrijk Huysman
Abbott Nederland,Commercieel belangrijk Abbott Nederland
Timeos,Fiduciair Manager Timeos
Bestuur Hewlett-Packard,C. Kuijken
Bestuur Houtverwerkende industrie,G. Gramser
Bestuur Blue Sky Group,H. Brouwer
Bestuur Architectenbureaus,S. de Vries
Bestuur Huntsman Rozenburg,H. van der Zee
Bestuur Landbouw,G. Jalink
Beleggingscommissie Coram,B. Iserief
Beleggingscommissie Cate Koninklijke,M. van der Kroft
Bestuur Ring Pon,F. van Galen
Bestuur Rockwool,J. de Kruijf
Bestuur Levensmiddelenbedrijf,E. Berendsen
Bestuur Heijmans,M. Hernández Lara
Bestuur Gasunie,F. Lemkes
Bestuur Bibliotheken openbare,C. Schuurmans
Bestuur Ecolab,A. Kok
Bestuur Rijn- en Binnenvaart,A. Aarts
Bestuur Sligro Food Group,H. Bouwknegt
Bestuur Citigroup Nederland,J. Dijckmeester
Bestuur Chevron,E. Huizing
Bestuur Hoogovens,H. de Groot
Beleggingscommissie FORD Nederland,F. Lemkes
Beleggingscommissie KPN,E. Berendsen
Beleggingscommissie NN CDC fonds,A. Aarts
Beleggingscommissie SNS Reaal Groep,A. Gram
Beleggingscommissie Shell,C. de Vries
Bestuur Tandartsen en Tandarts-Specialisten,R. Wijmenga
Bestuur Citigroup Nederland,B. Lindenhovius
Bestuur Deloitte,R. Mangelmans
"Bestuur Metalektro, bedrijfstakpensioenfonds",P. van der Steen
Bestuur Gasunie,P. Breimer
Bestuur Nedlloyd,D. Denteneer
Bestuur Invista,L. Uittenbroek
Bestuur Forbo,G. van Geloven
Bestuur Telegraafpensioenfonds 1959,J.H. Scholing
Bestuur Cargill,C. Wortmann-Kool
Bestuur Huysman,J. Meijer
Bestuur Robeco AM,W. Berg
"Bestuur Mode-, Interieur-, Tapijt- en Textielindustrie",G. Leegwater
Bestuur Medewerkers Apotheken,A. van Vliet
Bestuur Citigroup Nederland,J. van Zijl
Bestuur Cap Gemini Nederland,J. van Lunteren
Bestuur Kunststof- en Rubberindustrie,M. Doornekamp
Bestuur Ring Transavia cabinepersoneel,C. van Eykelenburg
Bestuur Nedlloyd,E. van Houwelingen
Bestuur Robeco,C. Mulder-Volkers
Bestuur De Nationale,X. den Uyl
Bestuur Medewerkers Apotheken,M. Damm
Beleggingscommissie Co-op,E. van Houwelingen
Beleggingscommissie Sanoma Magazines Nederland,W. Berg
Beleggingscommissie Cap Gemini Nederland,M. Doornekamp
Beleggingscommissie Houthandel,M. Damm
Beleggingscommissie Mars,P. Wennink
Beleggingscommissie ARCADIS Nederland,S. Evans
Beleggingscommissie PepsiCo Nederland,K. Kjaer
Beleggingscommissie Timeos,K. Koedijk
Bestuur ING,J. van der Starre
Bestuur HAL,G. Roest
Bestuur IBM Nederland,H. Onstwedder
Bestuur Levensmiddelenbedrijf,M. Rosenberg
Bestuur PostNL,F. Gertsen
Bestuur Volo,S. van Meer
Bestuur KLM Algemeen,G. Koudys
Bestuur PPG Industries Nederland,M. Daamen
Bestuur Rabobankorganisatie,R. le Clercq
Beleggingscommissie SPF beheer,G. Roest
Beleggingscommissie Het Nederlandse Pensioenfonds,M. Rosenberg
Beleggingscommissie Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,J. van der Starre
Bestuur Schoenmakerij,H. Hijlkema
Bestuur BlackRock,M. Zier
Bestuur Lloyd's Register Nederland,M. van Dam
Bestuur Media PNO,C. van der Sluis
Bestuur Russell,T. Zimmerman
Bestuur Alcatel-Lucent,P. van der Horst
Bestuur Zorg en Welzijn,R. Kloos
Bestuur YARA Nederland,L. Rolf
Bestuur Ring DHV,J. Meerman
Bestuur Chevron,A. Snellen
Bestuur Invista,K. van Popta
Bestuur Hewlett-Packard,A. van Dorssen
Bestuur Holland Casino,B. de Lege
Bestuur Ring Pon,C. Filippini
Bestuur British American Tobacco,H. Grutters
Bestuur Albemarle,H. van der Kolk
Bestuur Rijn- en Binnenvaart,G. Seffinga
Beleggingscommissie GE Artesia Bank,B. van Popta
Beleggingscommissie Cindu International,A. van Dorssen
Beleggingscommissie AXA,R. Grutters
Beleggingscommissie Rockwool,A. Snellen
Bestuur PepsiCo Nederland,J. van de Vall
Bestuur Deutsche Bank Nederland,P. van der Heijden
Bestuur Drankindustrie,P. Mannaert
Bestuur Woningcorporaties,T. Volkeri
Bestuur McCain,L. van Beekum
"Bestuur Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",A. van Hienen
Bestuur Houthandel,R. Barnhoorn
Bestuur Verloskundigen,R. Lahoye
Bestuur Metaal en Techniek,M. van Straten
Bestuur Achmea IM,S. Borghouts
Bestuur Witteveen & Bos,P. Verhoef
Bestuur Achmea Personeel,J. Wevers
Bestuur Ernst & Young,P. de Witte
Bestuur Atradius,J. Hannema
Bestuur Elsevier-Ondernemingen,F. Kagie
Bestuur Fracties,H. Modderman
Bestuur Ring Transavia cabinepersoneel,R. Elberse
Bestuur Bibliotheken openbare,R. Doerga
Beleggingscommissie Vitol Anker,P. de Witte
Beleggingscommissie Houtverwerkende industrie,J. Wevers
Beleggingscommissie CRH,H. de Jong
Bestuur Wonen,N. Groot
Bestuur Security,H. Konijn
Bestuur Campina,R. Beukhof
Bestuur Ernst & Young,L. Geenen-van Straaten
Bestuur BlackRock,R. Hoytema van Konijnenburg
Bestuur Ring Haskoning,M. Vervark-Straathof
Bestuur Huisartsen,H. Weeda
Bestuur VNU,Rob van den Berg
Beleggingscommissie ARCADIS Nederland,J. de Jong
Beleggingscommissie Drankindustrie,S. Bartlema
Beleggingscommissie ABN AMRO Bank,G. de Vrij
Beleggingscommissie AVEBE,F. de Waardt
Beleggingscommissie CRH,G. Groothuis
Bestuur Rijn- en Binnenvaart,D. Schmidt
Bestuur IBM Nederland,F. Marring
Bestuur Rijn- en Binnenvaart,C. Ekkers
Bestuur Bibliotheken openbare,J. Ruijgrok
Bestuur Buizerdlaan,J. Veltman
Bestuur De Nationale,F. Philipson
Beleggingscommissie Witteveen & Bos,J. Veltman
Beleggingscommissie Zuivel en aanverwante industrie,F. Philipson
Beleggingscommissie Rijn- en Binnenvaart,J. Ruijgrok
Beleggingscommissie Centraal Beheer,J. Vethaak
Beleggingscommissie Alcatel-Lucent,W. Baljet
Beleggingscommissie Urenco Nederland,B. Puijn
Beleggingscommissie ABN AMRO Bank,M. Sanders
Bestuur Deloitte,T. van den Heuvel
Bestuur SABIC,C. Spaan
Bestuur PGB,R. van Pommeren
Bestuur Philips,W. Sillen
Bestuur Blue Sky Group,M. Hofmans-Weijman
Bestuur Huisartsen,J. Sluis
Bestuur Bouwnijverheid,A. Barszczowski
Beleggingscommissie Consumentenbond,R. van Pommeren
Beleggingscommissie Medewerkers Apotheken,W. Sillen
Beleggingscommissie Houthandel,P. van de Ven
Beleggingscommissie Urenco Nederland,J. Verschut
Bestuur Heijmans,H. Thoman
Bestuur Forbo,J. Ossel
Bestuur Textielgoederen en Aanverwante Artikelen Groothandel,E. Bot
Bestuur Cosun,B. Blocq
Bestuur Blue Sky Group,J. Linger
Bestuur Metaal en Techniek,B. Honsdrecht
Bestuur TOTAL,E. van den Berg
Bestuur Witteveen & Bos,J. Altena
Beleggingscommissie Spoorwegpensioenfonds,J. Linger
Beleggingscommissie Roba,J. Altena
Beleggingscommissie Staples,B. Honsdrecht
Beleggingscommissie Cap Gemini Nederland,A. Slager
Beleggingscommissie Ring Transavia cabinepersoneel,M. van Hasselt
Beleggingscommissie Wolters Kluwer Nederland,R. Engels
Bestuur Ring DHV,J. Alders
Bestuur Witteveen & Bos,A. van Bolderen
Bestuur B&S,A.J. Vink
"Bestuur Metalektro, bedrijfstakpensioenfonds",E. Merlijn
Bestuur Ring Pon,C. Dert
Bestuur Reisbranche,P. Fey
Bestuur Lanschot,G. Bergsma
Bestuur AZL,P. de Bruijn
Bestuur Abbott Nederland,J. Moors
Bestuur GE Artesia Bank,O. Perik
Bestuur Levensmiddelenbedrijf,F. Vlak
Bestuur Personeelsdiensten,G. van Weelden
Bestuur NIBC,A.F.P. Bakker
Bestuur Schoonmaak- en Glazenwassersbedrijf,P. Wolters
Beleggingscommissie Will Niemeijer,F. Vlak
"Beleggingscommissie Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",P. Fey
Beleggingscommissie AZL,A.F.P. Bakker
Beleggingscommissie Centraal Beheer,C. Dert
Beleggingscommissie Albemarle,G. Bergsma
Bestuur Fracties,K. van Popta
Bestuur McCain,A. van Rhijn
Bestuur Robeco AM,H. van Luunen
Bestuur AXA,H. Keijer
Bestuur VNU,J. Berghuis
"Bestuur Mode-, Interieur-, Tapijt- en Textielindustrie",M. Hulsegge
Bestuur Mars,A. Akkerman
Bestuur Dierenartsen,J. Brocken
Bestuur B&S,J. Schouten
Bestuur SC Johnson,J. Spruijt
Beleggingscommissie IBM Nederland,K. van Popta
Beleggingscommissie TBI,E. Bosman
Beleggingscommissie Wonen,M. Hulsegge
Beleggingscommissie PostNL,A. Akkerman
Bestuur Rockwool,J. Ruis
Bestuur Albemarle,L. Scheepens
Bestuur PepsiCo Nederland,C. Bastiaansen
"Bestuur Mode-, Interieur-, Tapijt- en Textielindustrie",H. Klein Poelhuis
Bestuur TNT express,F. Raessens
Bestuur Zorg en Welzijn,F. Rohof
Bestuur CRH,M. van Veldhuizen
Bestuur Schoonmaak- en Glazenwassersbedrijf,W. Houwelingen
Bestuur Gasunie,A. van den Brink
Bestuur Groothandel,A. Heijnen
Bestuur Ring Transavia grondpersoneel,L. Berke
Bestuur Dow,M. Blomberg
Bestuur NN CDC fonds,E. Hulshof
Bestuur Douwe Egberts,J. Koomans
Beleggingscommissie Will Niemeijer,L. Dijkstra
Beleggingscommissie Ring Pon,P. Eichholtz
"Beleggingscommissie Schoen-, Leder- en Lederwarenindustrie",M. Jochems
Bestuur Cindu International,F. Briët
Bestuur Croda,H. Duijst
Bestuur General Electric Nederland,H. Kroezen
Bestuur IBM Nederland,D. Nagtegaal
Bestuur Pensura,L. Raadgever
Bestuur Urenco Nederland,I. Slikkerveer
Bestuur Ecolab,G. van Til
Bestuur Dierenartsen,W. Vlasblom
Bestuur Bisdommen,M. Adringa
Bestuur TKP,E. Uijen
Bestuur ARCADIS Nederland,G. Louw
Bestuur AFM,P. Morshuis
Bestuur Ring DHV,F. Lemmink
Bestuur ABP,C. Hes
Bestuur Personeelspensioenfonds APG,P. Deiters
Bestuur Architectenbureaus,E. Werner
Beleggingscommissie Randstad,F. Lemmink
Beleggingscommissie ANWB P,P. Deiters
Beleggingscommissie Douwe Egberts,C. Hes
Beleggingscommissie Bisdommen,P. Morshuis
Bestuur IBM Nederland,R. Prins
Bestuur Croda,J. Boers
Bestuur MPD,R. Oosterhout
Bestuur Cate Koninklijke,P. Wilson
Bestuur Loodsen,W. Kastelijn
"Bestuur Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",Klaas de Wit
"Beleggingsadviseur Mode-, Interieur-, Tapijt- en Textielindustrie",T. Aaten
Beleggingsadviseur Bavaria,C. de Vries
Bestuur Notarieel,M. Hooglander
Bestuur Spoorwegpensioenfonds,F. van der Horst
Bestuur AT&T Nederland,W. Westerborg - de Haan
Bestuur Aon Groep Nederland,K. Roozemond
Bestuur Getronics,J. van Dorssen
Bestuur Campina,P. Buitenhuis
Bestuur BlackRock,C. de Pee
Bestuur Tandartsen en Tandarts-Specialisten,M. Jacobs
Bestuur Roeiers in het Rotterdamse havengebied,J. van Horzen
Beleggingscommissie NIBC,C. de Pee
Beleggingscommissie Ring Haskoning,B. Peeters
Beleggingscommissie NN CDC fonds,M. Roest
Beleggingscommissie Sanoma Magazines Nederland,A. Soederhuizen
Beleggingscommissie Hoogovens,O. Steenbeek
Beleggingscommissie Will Niemeijer,A. Vorst
Beleggingscommissie Archimedes,W. Westerborg - de Haan
Bestuur Trespa,R. Degenhardt
Bestuur PostNL,F. de Haan
Bestuur Grontmij,L. Coenradie
Bestuur Apothekers,A. Verplancke
Bestuur Schoenmakerij,J. Dijckmeester
Bestuur TNT express,M. Jansen
Bestuur Ernst & Young,R. Heerkens
Bestuur Bibliotheken openbare,H. Kapteijn
Bestuur Douwe Egberts,T. Vollebergh
Bestuur Vopak,P. Wilson
Bestuur Allianz Nederland,B. Roman
Bestuur Personeelspensioenfonds APG,C. Damen-Evers
Bestuur Zoetwarenindustrie,J. Winterink
Bestuur Kas Bank,E. Brendel
Bestuur Holland Casino,M. Ariaans
Bestuur VNU,A. de Hoon
Beleggingscommissie GE Artesia Bank,M. Ariaans
Beleggingscommissie Consumentenbond,F. Mulder
"Beleggingscommissie Metalektro, bedrijfstakpensioenfonds",S. Baars
Bestuur Ring DHV,A. Steijaert
"Bestuur Mode-, Interieur-, Tapijt- en Textielindustrie",C. Lonsain
Bestuur Unisys Nederland,M. Streuer
